GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
1144,13,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,14,Vehicle controls,0,0,0
1145,14,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,15,Robot controller interfaces,0,0,0
1146,15,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,16,Exoskeletons,0,0,0
1147,16,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,17,Body-integrated interfaces,0,0,0
1148,17,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,18,Smart home devices,0,0,0
1149,18,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,19,Rapid 3D modelling,1,1,1
1150,19,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,20,Haptic feedback equipment,0,0,0
1151,20,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,21,Physical/tactile displays,1,1,1
1152,21,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,22,Visual/light indicators,0,0,0
1153,22,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,23,1D visual displays,1,1,1
1154,23,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,24,3D visual displays,1,1,1
1155,24,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,25,Virtual reality headsets,1,1,1
1156,25,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,26,Augmented reality glasses,1,1,1
1157,26,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,27,Audio indicators,0,0,0
1158,27,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,28,Brain computer interface,0,0,0
1159,28,FAMILY6,6. Knowledge management and provision of high quality training and education,6.1,Acquisition of technical skills for cyber operations.,Acquiring cyber skills,29,Olfactory interfaces,0,0,0
1160,29,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,1,Touchscreens,1,1,1
1161,30,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,2,Touch-interactive large objects,1,1,1
1162,31,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,3,Gesture and movement sensors,0,0,0
1163,32,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,4,Handheld controllers,0,0,0
1164,33,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,5,Keyboard and text input devices,0,0,0
1165,34,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,6,Drawing or writing implements,0,0,0
1166,35,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,7,Image recognition cameras,0,0,0
1167,36,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,8,Eye tracking equipment,0,0,0
1168,37,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,9,Physiological monitors,0,0,0
1169,38,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,10,Physical virtual reality control interfaces,0,0,0
1170,39,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,11,Smart clothing and other wearables,0,0,0
1171,40,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,12,Telepresence equipment,1,1,1
1172,41,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,13,Speech-based interfaces,0,0,0
1173,42,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,14,Vehicle controls,0,0,0
1174,43,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,15,Robot controller interfaces,0,0,0
1175,44,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,16,Exoskeletons,0,0,0
1176,45,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,17,Body-integrated interfaces,0,0,0
1177,46,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,18,Smart home devices,0,0,0
1178,47,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,19,Rapid 3D modelling,1,1,1
1179,48,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,20,Haptic feedback equipment,0,0,0
1180,49,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,21,Physical/tactile displays,1,1,1
1181,50,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,22,Visual/light indicators,0,0,0
1182,51,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,23,1D visual displays,1,1,1
1183,52,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,24,3D visual displays,1,1,1
1184,53,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,25,Virtual reality headsets,1,1,1
1185,54,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,26,Augmented reality glasses,1,1,1
1186,55,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,27,Audio indicators,0,0,0
1187,56,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,28,Brain computer interface,1,1,1
1188,57,FAMILY6,6. Knowledge management and provision of high quality training and education,6.2,"Acquisition of technical skills beyond 'consumer' grade (e.g., programming, 'deep dive' knowledge of adaptable technical systems).",Acquiring advanced technical skills,29,Olfactory interfaces,0,0,0
1189,58,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,1,Touchscreens,1,1,1
1190,59,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,2,Touch-interactive large objects,1,1,1
1191,60,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,3,Gesture and movement sensors,1,1,1
1192,61,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,4,Handheld controllers,0,0,0
1193,62,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,5,Keyboard and text input devices,1,1,1
1194,63,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,6,Drawing or writing implements,1,1,1
1195,64,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,7,Image recognition cameras,0,0,0
1196,65,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,8,Eye tracking equipment,0,0,0
1197,66,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,9,Physiological monitors,0,0,0
1198,67,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,10,Physical virtual reality control interfaces,0,0,0
1199,68,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,11,Smart clothing and other wearables,0,0,0
1200,69,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,12,Telepresence equipment,1,1,2
1201,70,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,13,Speech-based interfaces,1,1,1
1202,71,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,14,Vehicle controls,0,0,0
1203,72,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,15,Robot controller interfaces,0,0,0
1204,73,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,16,Exoskeletons,0,0,0
1205,74,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,17,Body-integrated interfaces,1,1,1
1206,75,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,18,Smart home devices,0,0,0
1207,76,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,19,Rapid 3D modelling,1,1,1
1208,77,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,20,Haptic feedback equipment,0,0,0
1209,78,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,21,Physical/tactile displays,1,1,2
1210,79,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,22,Visual/light indicators,0,0,0
1211,80,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,23,1D visual displays,1,1,2
1212,81,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,24,3D visual displays,1,1,2
1213,82,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,25,Virtual reality headsets,1,1,2
1214,83,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,26,Augmented reality glasses,1,1,2
1215,84,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,27,Audio indicators,1,1,1
1216,85,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,28,Brain computer interface,1,1,1
1217,86,FAMILY6,6. Knowledge management and provision of high quality training and education,6.3,Acquisition of cultural and language skills for challenging and complex overseas environments.,Acquiring cultural skills,29,Olfactory interfaces,1,1,1
1218,87,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,1,Touchscreens,1,1,1
1219,88,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,2,Touch-interactive large objects,1,1,1
1220,89,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,3,Gesture and movement sensors,0,0,0
1221,90,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,4,Handheld controllers,0,0,0
1222,91,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,5,Keyboard and text input devices,0,0,0
1223,92,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,6,Drawing or writing implements,0,0,0
1224,93,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,7,Image recognition cameras,0,0,0
1225,94,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,8,Eye tracking equipment,0,0,0
1226,95,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,9,Physiological monitors,0,0,0
1227,96,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,10,Physical virtual reality control interfaces,0,0,0
1228,97,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,11,Smart clothing and other wearables,0,0,0
1229,98,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,12,Telepresence equipment,1,1,1
1230,99,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,13,Speech-based interfaces,0,0,0
1231,100,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,14,Vehicle controls,0,0,0
1232,101,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,15,Robot controller interfaces,0,0,0
1233,102,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,16,Exoskeletons,0,0,0
1234,103,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,17,Body-integrated interfaces,0,0,0
1235,104,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,18,Smart home devices,0,0,0
1236,105,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,19,Rapid 3D modelling,1,1,1
1237,106,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,20,Haptic feedback equipment,0,0,0
1238,107,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,21,Physical/tactile displays,1,1,1
1239,108,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,22,Visual/light indicators,0,0,0
1240,109,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,23,1D visual displays,1,1,1
1241,110,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,24,3D visual displays,1,1,1
1242,111,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,25,Virtual reality headsets,1,1,1
1243,112,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,26,Augmented reality glasses,1,1,1
1244,113,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,27,Audio indicators,0,0,0
1245,114,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,28,Brain computer interface,1,1,3
1246,115,FAMILY6,6. Knowledge management and provision of high quality training and education,6.4,Rapid and high volume military education in a reconstitution scenario.,Military education,29,Olfactory interfaces,1,1,1
1247,116,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,1,Touchscreens,1,1,1
1248,117,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,2,Touch-interactive large objects,1,1,1
1249,118,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,3,Gesture and movement sensors,0,0,0
1250,119,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,4,Handheld controllers,0,0,0
1251,120,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,5,Keyboard and text input devices,0,0,0
1252,121,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,6,Drawing or writing implements,0,0,0
1253,122,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,7,Image recognition cameras,0,0,0
1254,123,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,8,Eye tracking equipment,0,0,0
1255,124,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,9,Physiological monitors,0,0,0
1256,125,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,10,Physical virtual reality control interfaces,0,0,0
1257,126,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,11,Smart clothing and other wearables,0,0,0
1258,127,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,12,Telepresence equipment,1,1,1
1259,128,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,13,Speech-based interfaces,0,0,0
1260,129,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,14,Vehicle controls,0,0,0
1261,130,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,15,Robot controller interfaces,0,0,0
1262,131,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,16,Exoskeletons,0,0,0
1263,132,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,17,Body-integrated interfaces,0,0,0
1264,133,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,18,Smart home devices,0,0,0
1265,134,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,19,Rapid 3D modelling,1,1,1
1266,135,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,20,Haptic feedback equipment,0,0,0
1267,136,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,21,Physical/tactile displays,1,1,1
1268,137,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,22,Visual/light indicators,0,0,0
1269,138,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,23,1D visual displays,1,1,1
1270,139,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,24,3D visual displays,1,1,1
1271,140,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,25,Virtual reality headsets,1,1,1
1272,141,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,26,Augmented reality glasses,1,1,1
1273,142,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,27,Audio indicators,0,0,0
1274,143,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,28,Brain computer interface,1,1,1
1275,144,FAMILY6,6. Knowledge management and provision of high quality training and education,6.5,Training (cyber - user level/insider threat prevention).,Cyber training,29,Olfactory interfaces,0,0,0
1276,145,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,1,Touchscreens,1,1,1
1277,146,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,2,Touch-interactive large objects,1,1,1
1278,147,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,3,Gesture and movement sensors,0,0,0
1279,148,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,4,Handheld controllers,0,0,0
1280,149,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,5,Keyboard and text input devices,0,0,0
1281,150,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,6,Drawing or writing implements,0,0,0
1282,151,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,7,Image recognition cameras,0,0,0
1283,152,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,8,Eye tracking equipment,0,0,0
1284,153,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,9,Physiological monitors,0,0,0
1285,154,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,10,Physical virtual reality control interfaces,0,0,0
1286,155,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,11,Smart clothing and other wearables,0,0,0
1287,156,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,12,Telepresence equipment,1,1,1
1288,157,FAMILY6,6. Knowledge management and provision of high quality training and education,6.6,"Need for reconstitution of capability places a premium on methods for knowledge management and preservation. This includes both technical, doctrinal but also potentially cultural knowledge. This confers both capability for reconstitution but also therefore contributes to institutional resilience.",Capability reconstitution,13,Speech-based interfaces,0,0,0
